p_val	avg_log2FC	pct.1	pct.2	p_val_adj
A2M	3.25760519646517e-253	-0.355501698248669	0.085	0.202	1.13100794816074e-248
AARS	3.52661726176257e-60	0.101135467686371	0.169	0.105	1.22440624711135e-55
ABCA5	2.59502759359049e-85	-0.11666502165972	0.11	0.181	9.00967630218681e-81
ABCA7	5.88931930131072e-268	0.175741814302688	0.131	0.015	2.04471276822207e-263
ABCC3	2.21485719990057e-50	0.20878761589426	0.532	0.461	7.6897627123348e-46
ABCD3	0.480989475462174	-0.00762429038731111	0.2	0.195	1
ABCD4	0.316934058654307	-0.000867540677010253	0.147	0.142	1
ABCG1	8.0130566792199e-180	0.143363164331248	0.112	0.023	2.78205314845836e-175
ABHD12	4.3589320370727e-76	-0.156735486419892	0.228	0.309	1.51337761395127e-71
ABHD13	0.0837227878481569	-0.0149251460323683	0.104	0.11	1
ABHD14A	1.27925535831087e-181	-0.178430072158725	0.12	0.232	4.44144667851951e-177
ABHD2	0	0.776475534699452	0.581	0.246	0
ABHD3	0	0.287454736300612	0.275	0.099	0
ACAA1	2.05281620063426e-157	-0.253652470665928	0.296	0.412	7.12717256698209e-153
ACBD5	7.58270344166473e-148	0.155934650989566	0.198	0.091	2.63263880791158e-143
ACHE	0	0.291360913305481	0.165	0.012	0
ACP1	0.00371491916788498	-0.0277168871316998	0.526	0.475	1
ACSL3	2.4437600703302e-256	0.244210153147029	0.264	0.107	8.48449058817943e-252
ACSL4	8.05690719706066e-56	0.0748081833619655	0.116	0.063	2.79727760974749e-51
ACSL5	0	0.380051688385576	0.29	0.05	0
ACTB	0	0.658311862177755	0.992	0.973	0
ACTN1	2.2783547465802e-250	0.308093749306735	0.38	0.207	7.91021984465181e-246
ACTN4	3.2312316539741e-78	0.271801508669506	0.718	0.635	1.12185131794327e-73
ACVR1	9.97182884656609e-108	0.104086433689484	0.125	0.05	3.46211925723928e-103
ACVR1B	1.47547739188192e-17	-0.0479989943862442	0.131	0.163	5.12270995687485e-13
ADAM10	1.14530488131006e-208	0.234941506757848	0.339	0.183	3.97638401742039e-204
ADAM15	6.77329243499216e-280	0.244313607375947	0.273	0.107	2.35161940050493e-275
ADAM17	1.34522880155995e-104	0.131778979881954	0.176	0.09	4.67049987613599e-100
ADAM28	0	0.413308172239703	0.284	0.043	0
ADAM8	0	0.231356044302151	0.158	0.018	0
ADAM9	0	0.704819959415558	0.523	0.158	0
ADIPOR1	0	0.314750010032628	0.396	0.186	0
ADIPOR2	1.23078443080896e-61	0.086939751339228	0.17	0.103	4.27316046532562e-57
ADORA1	0	-0.170888114127014	0.031	0.144	0
ADRA2A	0	-0.471020346897649	0.129	0.355	0
AFG3L2	2.43518908768575e-33	0.0735726666120913	0.241	0.185	8.45473299353617e-29
AGPAT1	1.16906595629173e-51	0.07967248244742	0.149	0.092	4.05888009364926e-47
AGPAT2	0	0.344524978958312	0.529	0.321	0
AGPAT3	5.54846298243215e-28	0.0543714957224233	0.135	0.095	1.92637086287062e-23
AGPAT5	6.79044442701625e-138	0.140720224950019	0.12	0.038	2.35757440061577e-133
AGPAT6	2.85356027353843e-27	0.0554023382592909	0.129	0.09	9.90727591369807e-23
AGPS	3.37643396510996e-62	0.0822099146885491	0.135	0.075	1.17226410834653e-57
AGRN	0.418100020680381	-0.0207246236458652	0.411	0.408	1
AGTRAP	4.90663547497476e-64	0.1174469598562	0.235	0.158	1.70353477055649e-59
AIG1	9.90980767823317e-09	-0.0434759329216847	0.225	0.25	0.000344058612780577
AKAP1	2.4714036933689e-304	0.250122383977245	0.238	0.076	8.58046648300748e-300
AKAP11	7.93443041747236e-68	0.115424107155851	0.166	0.099	2.75475489664223e-63
AKAP9	2.30501418924845e-23	0.0734527774427823	0.567	0.484	8.00277876365169e-19
ALCAM	0	0.278813727339833	0.225	0.062	0
ALDH3A2	0	-0.363969894788463	0.19	0.386	0
ALDH6A1	2.43204332482903e-14	-0.0441081352820903	0.102	0.128	8.44381121947391e-10
ALG2	6.45189444845543e-10	-0.0414881409622341	0.138	0.161	2.24003323355924e-05
ALG3	1.03067864300134e-141	0.153933867795886	0.223	0.113	3.57841318063635e-137
ALG5	2.77116483798775e-17	-0.0769425874815167	0.275	0.311	9.62120720100968e-13
ALG8	2.35329964521983e-07	0.0230533080470987	0.114	0.096	0.00817042103823873
ALKBH5	1.7643100371405e-12	-0.0460557998728119	0.155	0.183	6.12550801794811e-08
AMBP	0	-1.96643105064481	0.084	0.704	0
AMFR	2.81489462948589e-09	0.0334365692877375	0.207	0.18	9.77303266411206e-05
AMIGO2	3.26625503024263e-216	0.237685382612811	0.117	0.018	1.13401108394994e-211
AMN	0	0.634683842053279	0.368	0.03	0
ANG	0	0.362542074733079	0.368	0.174	0
ANGPTL1	0	-0.298601097912837	0.019	0.2	0
ANGPTL4	5.42849862289502e-180	0.271147969098767	0.118	0.026	1.88472043688292e-175
ANKLE2	5.4215455784696e-99	0.1597117613074	0.228	0.135	1.88230640938886e-94
ANKRD22	0	0.226149357899371	0.153	0.009	0
ANKRD46	4.41856833278697e-99	-0.0962872328982992	0.061	0.124	1.53408273946031e-94
ANO1	2.33339435618794e-173	0.199285334934615	0.162	0.058	8.10131186524892e-169
ANO6	5.12357960453919e-19	0.0508671134233585	0.175	0.138	1.77885560289996e-14
ANO9	7.48653150416764e-94	0.0928054543974348	0.1	0.038	2.59924887293196e-89
ANPEP	2.29917463799943e-116	-0.127553086251354	0.154	0.252	7.98250442567021e-112
ANTXR2	0	0.29641791542264	0.188	0.012	0
APH1A	2.01397835782815e-229	0.241414810001842	0.494	0.311	6.99233146054357e-225
APLP2	4.55402748255849e-124	0.330975903339553	0.772	0.654	1.58111280166948e-119
APMAP	0.0328066966938419	0.00125465132678015	0.206	0.194	1
APOD	1.67219868022091e-95	-0.0483038349504376	0.097	0.171	5.80570659785897e-91
APOH	0	-0.251096361018218	0.009	0.161	0
APOL1	0	0.919424834083332	0.394	0.029	0
APOL2	1.37502048122789e-235	0.226676482379102	0.186	0.057	4.77393360877512e-231
APOL6	3.6396772570276e-222	0.217895193950157	0.203	0.073	1.26365954686741e-217
APOO	5.02138397095527e-43	-0.0639056675237864	0.07	0.111	1.74337430087596e-38
APP	0	-0.517384392028941	0.648	0.719	0
AQP1	0	-1.40588318974226	0.147	0.719	0
AQP3	2.52217943312405e-85	0.146377819575455	0.145	0.073	8.75675477386338e-81
AQP5	0	0.481731380993155	0.175	0.02	0
AQP8	0	-0.218778733316587	0.019	0.123	0
AQR	9.22729869228189e-48	0.0643639783635365	0.103	0.057	3.20362583297335e-43
AREG	0	0.53275053010789	0.228	0.052	0
ARHGAP1	5.27151901752619e-83	0.107281708107518	0.176	0.098	1.83021868769492e-78
ARHGAP26	3.26740526059311e-237	0.205355458636444	0.195	0.062	1.13441043242532e-232
ARL6IP1	1.7491414748278e-45	-0.149063097005403	0.781	0.745	6.07284428645465e-41
ARL6IP5	0.523052960146122	-0.0422337235167226	0.518	0.485	1
ARL6IP6	2.78981875353143e-57	0.0905867706232402	0.186	0.12	9.68597173038578e-53
ARMC10	3.5798635272267e-136	0.170174468616941	0.3	0.178	1.24289281801784e-131
ARMCX1	1.95725597892269e-230	-0.122254974221926	0.033	0.114	6.79539703322167e-226
ARMCX2	4.56365538110662e-164	-0.107636245893482	0.039	0.11	1.58445551176641e-159
ARMCX3	5.97745721060673e-13	-0.062296578529229	0.239	0.27	2.07531336895055e-08
ARMCX6	1.11472248497795e-05	-0.0289502714939731	0.176	0.194	0.387020499559494
ARSD	6.01226845475172e-11	0.0366388005240911	0.295	0.259	2.08739948480525e-06
ARSE	0	-0.41316449158646	0.131	0.358	0
ARV1	0.00553074542547413	0.00892982384843879	0.145	0.134	1
ASAH1	4.09810451824178e-49	-0.160644506544632	0.4	0.455	1.42282090768836e-44
ASPH	0	0.681004316781498	0.502	0.181	0
ASPHD1	0	0.30635339624294	0.237	0.035	0
ATAD1	3.27722813102581e-22	0.0527864934045368	0.193	0.151	1.13782083481085e-17
ATF6	2.95451980466712e-41	0.0812253270952866	0.219	0.158	1.02577973098238e-36
ATF6B	0.00904330372913791	-0.0266383600868485	0.254	0.263	1
ATF7	2.78313579980343e-49	-0.0960544943128385	0.135	0.191	9.66276918333754e-45
ATL2	5.520519727412e-54	0.0722440773208302	0.111	0.06	1.91666924416017e-49
ATL3	3.8223335632122e-285	0.250204298532141	0.294	0.122	1.32707598981165e-280
ATM	1.29093393358737e-24	0.078688276849505	0.148	0.11	4.48199352402198e-20
ATP10B	0	0.282931607355046	0.149	0.002	0
ATP11A	5.35080084161131e-77	0.13059553165987	0.23	0.148	1.85774454419903e-72
ATP11B	1.44549988935161e-190	0.178563192554044	0.191	0.072	5.01863106583985e-186
ATP13A2	9.28107534296513e-47	0.0658811675252255	0.109	0.062	3.22229654832407e-42
ATP13A3	1.88680888783548e-20	0.0540007376569769	0.225	0.181	6.550811777676e-16
ATP1A1	0	-1.3718719418093	0.77	0.868	0
ATP1B1	1.21272346764268e-56	-0.259103070484374	0.8	0.782	4.21045460730864e-52
ATP1B3	1.40040415358168e-272	0.293388267189825	0.287	0.117	4.86206318082022e-268
ATP2A2	0	0.289119991035534	0.321	0.129	0
ATP2B1	2.04213395049633e-08	0.0431383803849412	0.166	0.144	0.000709008486272821
ATP2B4	2.82735109638464e-79	0.14124757331093	0.234	0.15	9.81628027153782e-75
ATP2C1	3.28786651090243e-89	0.135549147993791	0.27	0.174	1.14151437392021e-84
